"Timestamp","Username","For new players only, what do you want your username to be?","Top 3 of the Week (Pick #1) (2 Points)","Top 3 of the Week (Pick #2) (2 Points)","Top 3 of the Week (Pick #3) (2 Points)","Of the top 3, who's the winner of the week? (5 Points)","Bottom 3 of the Week (Pick #1) (2 Points)","Bottom 3 of the Week (Pick #2) (2 Points)","Bottom 3 of the Week (Pick #3) (2 Points)","Of the bottom 3, who is the eliminated queen of the week? (5 Points)","Who will be saved by the chocolate bar? (10 points)","Who will earn the most money throughout the season? (20 points)"
"2022/01/25 11:09:38 AM PST","Derek Berry","","Kornbread Jete","Willow Pill","Angeria Paris VanMichaels","Angeria Paris VanMichaels","Maddy Morphosis","Daya Betty","Alyssa Hunter","Maddy Morphosis","Alyssa Hunter","Willow Pill"
"2022/01/25 11:10:12 AM PST","Ball Enchilada","","Kornbread Jete","Bosco","Willow Pill","Kornbread Jete","Alyssa Hunter","Orion Story","Maddy Morphosis","Orion Story","Daya Betty","Kornbread Jete"
"2022/01/25 11:21:49 AM PST","Poinhub","","Angeria Paris VanMichaels","Kornbread Jete","Kerri Colby","Kornbread Jete","Maddy Morphosis","Daya Betty","Lady Camden","Daya Betty","Bosco","Kornbread Jete"
"2022/01/25 12:27:15 PM PST","The Scorpio ♏️","","Willow Pill","Angeria Paris VanMichaels","Jorgeous","Angeria Paris VanMichaels","Deja Skye","Lady Camden","Daya Betty","Deja Skye","Jorgeous","Kornbread Jete"
"2022/01/25 1:54:19 PM PST","Rawhul","","Bosco","Jorgeous","Angeria Paris VanMichaels","Jorgeous","Deja Skye","Orion Story","Maddy Morphosis","Maddy Morphosis","Lady Camden","Kornbread Jete"
"2022/01/25 2:00:28 PM PST","edwin","","Lady Camden","Kornbread Jete","Jasmine Kennedie","Lady Camden","Deja Skye","Alyssa Hunter","Maddy Morphosis","Maddy Morphosis","Lady Camden","Lady Camden"
"2022/01/25 2:15:28 PM PST","thatonebitch aka t1b","","Angeria Paris VanMichaels","Kornbread Jete","Bosco","Bosco","Lady Camden","Maddy Morphosis","Kerri Colby","Maddy Morphosis","Willow Pill","Angeria Paris VanMichaels"
"2022/01/25 3:36:19 PM PST","MattMatt","","Kerri Colby","Jasmine Kennedie","Bosco","Kerri Colby","Alyssa Hunter","Orion Story","Jorgeous","Alyssa Hunter","Maddy Morphosis","Kerri Colby"
"2022/01/25 3:39:30 PM PST","Damian","","Kornbread Jete","Daya Betty","Willow Pill","Willow Pill","Alyssa Hunter","Jorgeous","Orion Story","Orion Story","Bosco","Kornbread Jete"
"2022/01/25 4:01:41 PM PST","Jojo","","Angeria Paris VanMichaels","Kornbread Jete","Bosco","Kornbread Jete","Alyssa Hunter","Deja Skye","Jasmine Kennedie","Deja Skye","Jorgeous","Angeria Paris VanMichaels"
"2022/01/25 10:58:47 PM PST","Logie","","Kornbread Jete","Daya Betty","Deja Skye","Daya Betty","Jasmine Kennedie","Maddy Morphosis","Orion Story","Orion Story","Jorgeous","Kornbread Jete"
"2022/01/25 11:10:00 PM PST","azkratie","","Bosco","Maddy Morphosis","Orion Story","Bosco","Alyssa Hunter","Jasmine Kennedie","Jorgeous","Alyssa Hunter","Maddy Morphosis","Angeria Paris VanMichaels"
"2022/01/25 11:38:49 PM PST","Evanbettez1","","Jorgeous","Angeria Paris VanMichaels","Kerri Colby","Bosco","Maddy Morphosis","Lady Camden","Orion Story","Maddy Morphosis","Alyssa Hunter","Angeria Paris VanMichaels"
"2022/01/26 11:12:25 PM PST","Eric seeeeee","","Kornbread Jete","Jasmine Kennedie","Bosco","Kornbread Jete","Alyssa Hunter","Daya Betty","Jasmine Kennedie","Lady Camden","Daya Betty","Angeria Paris VanMichaels"
"2022/01/27 2:25:20 PM PST","Miguelol","","Angeria Paris VanMichaels","Jorgeous","Willow Pill","Kornbread Jete","Alyssa Hunter","Daya Betty","Deja Skye","Deja Skye","Lady Camden","Angeria Paris VanMichaels"
