"Timestamp","Username","For new players only, what do you want your username to be?","Top 3 of the Week (Pick #1) (2 Points)","Top 3 of the Week (Pick #2) (2 Points)","Top 3 of the Week (Pick #3) (2 Points)","Of the top 3, who's the winner of the week? (5 Points)","Bottom 3 of the Week (Pick #1) (2 Points)","Bottom 3 of the Week (Pick #2) (2 Points)","Bottom 3 of the Week (Pick #3) (2 Points)","Of the bottom 3, who is the eliminated queen of the week? (5 Points)","Who will be picked as Miss Congeniality? (20 points)","Winner of Snatch Game (10 points)","Do you think the first two eliminated queens will be brought back? (5 points)"
"2022/01/17 6:15:04 PM PST","Derek Berry","N/A","Kornbread Jete","Angeria Paris VanMichaels","Willow Pill","Willow Pill","Deja Skye","June Jambalaya","Kerri Colby","Deja Skye","Jasmine Kennedie","Willow Pill","Yes"
"2022/01/17 6:20:09 PM PST","Jojo",".","Kornbread Jete","Willow Pill","Angeria Paris VanMichaels","Willow Pill","Alyssa Hunter","June Jambalaya","Jasmine Kennedie","June Jambalaya","Angeria Paris VanMichaels","Kornbread Jete","Yes"
"2022/01/17 7:39:55 PM PST","Damian","Damian","Angeria Paris VanMichaels","Kornbread Jete","Willow Pill","Willow Pill","Jasmine Kennedie","Alyssa Hunter","Jorgeous","Jorgeous","Willow Pill","Willow Pill","Yes"
"2022/01/17 9:26:51 PM PST","azkratie","","Kerri Colby","Kornbread Jete","Willow Pill","Willow Pill","Lady Camden","Deja Skye","Alyssa Hunter","Lady Camden","Deja Skye","Bosco","Yes"
"2022/01/17 9:59:34 PM PST","The Scorpio ♏️","","Maddy Morphosis","Willow Pill","Kerri Colby","Angeria Paris VanMichaels","Deja Skye","Bosco","Alyssa Hunter","Bosco","Kerri Colby","Jorgeous","Yes"
"2022/01/17 10:13:43 PM PST","MattMatt","","Willow Pill","Maddy Morphosis","Kerri Colby","Maddy Morphosis","Alyssa Hunter","June Jambalaya","Deja Skye","Alyssa Hunter","Kornbread Jete","Jasmine Kennedie","No"
"2022/01/18 9:30:55 AM PST","Logie","","Alyssa Hunter","Willow Pill","Jasmine Kennedie","Willow Pill","Jorgeous","June Jambalaya","Maddy Morphosis","Maddy Morphosis","Angeria Paris VanMichaels","Kornbread Jete","Yes"
"2022/01/18 11:02:10 AM PST","Ball Enchilada","","Kornbread Jete","Willow Pill","Angeria Paris VanMichaels","Kornbread Jete","Deja Skye","Maddy Morphosis","June Jambalaya","Deja Skye","Angeria Paris VanMichaels","Kornbread Jete","Yes"
"2022/01/18 12:45:09 PM PST","Rawhul","","Bosco","Jorgeous","Kornbread Jete","Bosco","June Jambalaya","Deja Skye","Lady Camden","Deja Skye","Willow Pill","Kornbread Jete","No"
"2022/01/18 12:49:49 PM PST","edwin","","Maddy Morphosis","Alyssa Hunter","Kornbread Jete","Maddy Morphosis","Bosco","Deja Skye","June Jambalaya","Deja Skye","Lady Camden","Lady Camden","No"
"2022/01/18 1:12:05 PM PST","Poinhub","","Angeria Paris VanMichaels","Alyssa Hunter","Kerri Colby","Alyssa Hunter","Bosco","Orion Story","Lady Camden","Orion Story","Kornbread Jete","Angeria Paris VanMichaels","Yes"
"2022/01/18 4:41:02 PM PST","ChitoMaciel","","Kornbread Jete","Jasmine Kennedie","Willow Pill","Willow Pill","Bosco","June Jambalaya","Alyssa Hunter","Kerri Colby","June Jambalaya","Kornbread Jete","No"
"2022/01/18 8:31:50 PM PST","New Player","Evanbettez1","Deja Skye","Kornbread Jete","Jasmine Kennedie","Kornbread Jete","Orion Story","Angeria Paris VanMichaels","Kerri Colby","Maddy Morphosis","Kornbread Jete","Kornbread Jete","Yes"
"2022/01/18 11:04:46 PM PST","Miguelol","","Kornbread Jete","Bosco","Orion Story","Bosco","Deja Skye","Lady Camden","June Jambalaya","Deja Skye","Kornbread Jete","Angeria Paris VanMichaels","Yes"
"2022/01/18 11:15:40 PM PST","Eric seeeeee","","Angeria Paris VanMichaels","Deja Skye","Kornbread Jete","Alyssa Hunter","Lady Camden","June Jambalaya","Orion Story","Orion Story","Kornbread Jete","Kornbread Jete","Yes"
