Username,Ep 2,Ep 3,Ep 4,Ep 5,Ep 6,Ep 7,Ep 9,Ep 10,Ep 11,Ep 12,Bonus,Grand Total
Poinhub’s Cummy Back,21.0,7.0,18.5,7.5,3.5,9.0,16.0,0.0,25.5,20.0,5.0,133.0
PacaPacaPaca,13.0,9.0,11.5,12.5,7.5,2.0,15.0,5.0,21.0,7.0,5.0,108.5
Actually gonna Sharr-own y'all,10.0,6.0,9.0,7.0,11.0,6.0,17.0,7.0,16.5,13.5,5.0,108.0
Miley Chondria,18.0,9.0,9.5,3.0,8.0,6.0,14.0,7.0,18.5,8.5,5.0,106.5
drtangerine,8.0,6.0,14.5,10.0,6.0,6.0,10.5,2.0,19.5,8.5,5.0,96.0
Jane Oh No She Betta Don't,8.0,6.0,11.5,7.5,7.0,4.0,12.5,10.0,20.5,0.0,5.0,92.0
ed_head,5.0,2.0,12.0,12.0,8.0,9.0,11.0,2.0,13.5,12.5,5.0,92.0
Gay-me-in the Clunt-bauer,8.0,2.0,11.5,7.5,7.5,12.0,15.0,0.0,15.5,12.5,0.0,91.5
Adilldo,18.0,4.0,9.0,3.0,4.5,6.0,7.5,7.0,21.5,0.0,10.0,90.5
Jedsterz Jesters,3.0,9.0,13.5,14.5,2.0,6.0,13.0,0.0,14.0,8.5,0.0,83.5
Umami Thurman,11.0,2.0,10.5,6.5,6.0,2.0,14.5,0.0,16.5,9.0,5.0,83.0
nicolandio,15.0,7.0,4.0,1.5,2.0,6.0,13.5,0.0,26.0,0.5,5.0,80.5
Chat-GPTea,13.0,0.0,12.0,6.5,3.0,9.0,0.0,7.0,15.5,0.0,5.0,71.0
Sweet As St. Lucia,8.0,7.0,12.0,0.0,1.5,4.0,0.0,0.0,12.0,0.0,0.0,44.5
Apollo & Co.,13.0,2.0,11.0,0.0,1.5,0.0,0.0,0.0,14.0,0.0,0.0,41.5
Thank You Thank You,8.0,7.0,12.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
that’s so eric,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Subaru Enthusiast,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0
Sodapopshane,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
iwanttogotothere,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
OhJaaaay,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5
Petty Nick,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
